CPE,cluster_gmm
PT0002000032936306KX,2
PT0002000032942455NH,0
PT0002000032959511HP,2
PT0002000032966446CC,0
PT0002000032968749YT,0
PT0002000032969229AC,0
PT0002000032976997LZ,0
PT0002000032990792KD,0
PT0002000032993611ME,0
PT0002000033016394FN,0
PT0002000033039837ZH,0
PT0002000033074862LZ,0
PT0002000033085062AW,0
PT0002000033094187PL,0
PT0002000033171958DG,0
PT0002000033186037TF,0
PT0002000033254603ZX,0
PT0002000053093191SV,0
PT0002000065256275YB,0
PT0002000065523872AA,0
PT0002000066469574LZ,0
PT0002000068856655YV,0
PT0002000068856781NM,0
PT0002000068856872QG,2
PT0002000068856906VS,1
PT0002000068856952LS,2
PT0002000068857099AR,1
PT0002000068857897ZV,4
PT0002000068857909SY,1
PT0002000068859187RL,0
PT0002000068859325FL,4
PT0002000068859382XF,4
PT0002000068859393XH,4
PT0002000068859597LS,4
PT0002000069698702RB,0
PT0002000069803182JW,2
PT0002000071896778MT,0
PT0002000073231742VK,0
PT0002000073481266XH,0
PT0002000073598156DE,1
PT0002000073717386HC,1
PT0002000075637532JB,0
PT0002000077394934QY,4
PT0002000077647404EM,2
PT0002000078207354XC,1
PT0002000078233981HJ,1
PT0002000078294957RQ,0
PT0002000078441876HB,3
PT0002000079901964CJ,2
PT0002000081344542CP,1
PT0002000081997398TD,4
PT0002000082549706RH,1
PT0002000082592498EF,0
PT0002000084414998AX,0
PT0002000085555547GN,2
PT0002000085641795MX,0
PT0002000089069203YG,0
PT0002000100113293JT,4
PT0002000100742616GC,0
PT0002000101964938LF,0
PT0002000102936404ME,1
PT0002000103647515BL,2
PT0002000105483259QH,2
PT0002000106237165CF,0
PT0002000107046231FW,0
PT0002000107172384HT,1
PT0002000107332489XW,2
PT0002000108315818YN,2
PT0002000109837807PE,1
PT0002000109942242HZ,1
PT0002000110090564GD,1
PT0002000110607652SB,0
PT0002000112026362NN,2
PT0002000112171317NK,2
PT0002000112989585PH,4
PT0002000114685657JR,4
PT0002000115031201VQ,0
PT0002000115673389QK,4
PT0002000115673471CB,0
PT0002000115700602GW,0
PT0002000117822355RM,1
PT0002000119303492KB,0
PT0002000120237616VJ,0
PT0002000120320157HF,0
PT0002000123648159KR,0
PT0002000123801456QA,0
PT0002000125379984SH,1
PT0002000131605602FL,2
PT0002000133505542CK,2
PT0002000133685986TF,2
PT0002000201936109ME,0
